id,RecipeIngredient,by_sort,by_situation
6887271,"[113, 525, 4, 14, 94, 1, 11, 12, 6, 5, 3, 15, 7]",메인반찬,손님접대
6890250,"[102, 8, 56, 4, 13, 9, 52, 2, 11, 31, 5, 1, 7, 11, 12]",밑반찬,일상
7019414,"[58, 1, 15, 5, 19, 12]",밑반찬,일상
6969066,"[123, 28, 4, 14, 9, 13, 113, 414, 5, 1]",메인반찬,일상
4733098,"[376, 76, 7, 16, 18, 3, 1, 162, 104]",밑반찬,일상
6867509,"[68, 95, 5, 17, 172, 43, 6, 1, 9, 25, 7]",밑반찬,일상
6976638,"[111, 4, 8, 117, 22, 135, 34, 7]",밥/죽/떡,도시락
6924215,"[42, 392, 1, 40, 27, 11, 3, 6]",찌개,일상
6996820,"[63, 8, 2, 11, 46, 84, 98, 72]",빵,일상
6901645,[209],차/음료/술,일상
6885704,"[100, 5, 16, 3, 1, 19]",메인반찬,간식
6966422,"[78, 100, 4, 1, 23, 25, 70, 57]",메인반찬,다이어트
6861963,"[123, 29, 29, 5, 19, 86, 1, 153, 21, 6]",메인반찬,
6849976,"[120, 37, 2, 3, 79]",디저트,술안주
6966606,"[88, 26, 4, 147, 2, 11]",스프,일상
6868304,"[93, 187, 10, 7, 12]",양념/소스/잼,초스피드
6877522,"[111, 4, 41, 115, 22, 2, 5, 11, 7]",밥/죽/떡,일상
7001484,"[22, 75, 130, 1, 4, 23, 54, 265, 3, 8]",메인반찬,초스피드
7004564,"[36, 157, 2, 9, 1, 5, 3, 10, 16, 35, 15]",밑반찬,일상
6979485,"[8, 22, 5, 27, 7]",밥/죽/떡,일상
3008255,"[60, 171, 77, 3, 21, 8, 260, 158]",빵,간식
6983604,"[326, 135, 11, 89, 8, 116, 15]",메인반찬,일상
2380475,"[326, 148, 35, 4, 40, 1, 11, 6, 1, 50, 18, 5, 7, 2, 12]",샐러드,다이어트
6948265,"[21, 125, 8, 159, 60, 171, 2]",과자,간식
6942867,"[212, 36, 13, 117, 134, 439, 44, 59, 11]",기타,술안주
6926472,"[30, 9, 76, 4, 2, 10, 50, 20, 1, 40, 2]",김치/젓갈/장류,일상
6901261,"[202, 4, 9, 16, 86, 19, 5, 7, 1]",김치/젓갈/장류,일상
6988481,"[563, 74, 8, 22, 5, 7, 12]",밥/죽/떡,초스피드
7002146,"[36, 2, 3, 18, 1, 12]",밑반찬,일상
6877359,"[200, 1, 5, 17, 6, 3, 46, 23, 16, 10, 3, 18, 7, 6]",메인반찬,손님접대
6853470,"[512, 117, 5, 33, 135, 3, 12]",밑반찬,일상
7017603,"[111, 62, 301, 82, 4, 9, 98, 6, 10, 16, 35, 24, 20, 1, 11]",찌개,일상
7006925,"[95, 36, 14, 65, 8, 5, 1, 7, 43, 296, 192]",메인반찬,일상
7022104,"[36, 187, 5, 10, 1, 86, 3, 18, 2, 12]",밑반찬,일상
6872688,"[63, 21, 3, 67]",과자,간식
6951547,"[144, 42, 36, 16, 3, 43, 18, 9, 145, 12, 7, 135]",면/만두,일상
7011682,"[202, 150, 4, 9, 12, 5, 3, 43, 80, 27, 1, 11, 5, 44, 33]",메인반찬,손님접대
7006869,"[461, 4, 9, 13, 5, 10, 33, 1, 48, 20, 6]",밑반찬,일상
7018848,"[183, 2, 5, 10, 1, 43, 7, 12, 9, 13]",밑반찬,일상
6875552,"[214, 111, 301, 10, 24, 127]",찌개,일상
6946359,"[308, 36, 16, 10, 18, 2, 43, 1, 7, 3]",밑반찬,일상
6987991,"[203, 13, 9, 10, 1, 7, 12]",밑반찬,일상
6962951,"[70, 42, 110, 8]",밑반찬,일상
7006481,"[113, 75, 14, 70, 7, 12, 5, 31, 17, 19]",메인반찬,손님접대
6903477,"[42, 293, 8, 24, 1, 132, 7, 55, 23, 6]",밥/죽/떡,일상
7023011,"[63, 170, 164, 134, 18]",빵,초스피드
6890743,"[28, 74, 56, 29, 4, 147, 122, 37, 2, 11, 27, 17]",양식,간식
6809126,"[461, 1, 24, 7, 23, 34]",밑반찬,일상
2731851,"[71, 14, 36, 4, 120, 6, 3, 18]",메인반찬,손님접대
6988039,"[315, 462, 41, 25, 13, 6, 25, 217, 4, 22, 64, 20, 1, 40, 10, 43, 2, 6, 2]",,
6936928,"[22, 84, 8, 21, 2, 38]",밥/죽/떡,초스피드
6874315,"[22, 8, 212, 9, 15, 54, 5, 7]",밥/죽/떡,일상
6934005,"[81, 8, 23, 6, 616, 15, 2, 3]",메인반찬,일상
6920090,"[198, 4, 9, 25, 3, 12, 16, 10, 5, 19, 17, 1]",메인반찬,일상
6987732,"[56, 84, 41, 14, 8, 66, 135, 11, 361]",메인반찬,명절
6951163,"[198, 152, 9, 4, 3, 5, 31, 549, 1, 135, 12]",메인반찬,술안주
6831231,"[26, 167]",차/음료/술,다이어트
6978074,"[275, 4, 9, 12, 15, 10, 3, 16, 5, 1, 48, 38]",메인반찬,일상
6985208,"[191, 9, 4, 29, 21, 1, 5, 17, 19, 12]",메인반찬,일상
426409,"[32, 47, 4, 14, 151, 150, 10, 13, 1, 9, 16, 31, 5, 3, 1, 38, 7, 12, 6, 179]",밥/죽/떡,일상
6989046,"[258, 29, 29, 75, 148, 36, 84, 6, 168, 18, 3, 5]",메인반찬,손님접대
6961655,"[62, 126, 46, 204, 12]",밑반찬,일상
7013502,"[74, 28, 9, 4, 14, 15, 1, 2, 7, 11, 12]",밑반찬,일상
7022383,"[30, 32, 9, 33, 24, 2, 1, 154]",국/탕,일상
6936057,[88],디저트,일상
6911656,"[49, 36, 4, 10, 20, 20, 18, 1, 3, 7, 12]",밑반찬,초스피드
6612997,"[176, 2, 10, 79, 147]",과자,술안주
6834635,"[82, 198, 9, 4, 13, 64, 24, 10, 1, 153, 35, 3, 6]",메인반찬,일상
6875786,"[42, 582, 113, 49, 9, 1, 40, 11, 31, 5, 96, 290]",면/만두,일상
6982492,"[205, 2, 27]",기타,일상
6827827,"[41, 10, 20, 50]",김치/젓갈/장류,일상
6986999,"[410, 9, 2, 16, 1, 7, 12]",밑반찬,일상
6854249,"[51, 14, 4, 15, 64, 7, 34, 1, 2, 11]",밑반찬,일상
6959579,"[191, 109, 7, 24]",국/탕,일상
6981963,"[376, 4, 20, 18, 43, 192, 10, 1, 12]",밑반찬,일상
6830191,"[8, 30, 131, 2, 6, 5, 48, 17, 45, 6]",밑반찬,일상
6998103,"[101, 56, 95, 51, 87, 27, 1, 2, 38, 352, 182, 5, 19]",양식,일상
1732147,"[136, 32, 99, 30, 35, 10]",국/탕,일상
6978655,"[28, 75, 1, 13, 15, 12, 135]",밑반찬,일상
6880996,"[384, 30, 185, 32, 9, 13, 25, 35, 16, 1, 10, 64, 5, 40]",찌개,일상
6862974,"[160, 32, 30, 5, 69, 25, 13, 1, 9]",국/탕,일상
6976366,"[49, 56, 85, 6, 66]",메인반찬,술안주
6761257,"[42, 9, 74, 5, 3, 8, 145, 22, 15]",밥/죽/떡,일상
6968140,"[85, 126, 36, 4, 14, 30, 16, 10, 5, 18, 3, 19, 1, 2, 3, 18, 6]",밑반찬,일상
6966778,"[68, 97, 32, 102, 14, 4, 9, 64, 17]",메인반찬,명절
6951907,"[49, 8, 2, 6]",밑반찬,일상
6962729,"[180, 242, 9, 48, 10, 1, 12, 19, 7]",밑반찬,일상
4604179,"[268, 14, 7, 12, 10, 1, 43, 24]",김치/젓갈/장류,일상
7014747,"[178, 35, 9, 33, 1, 55]",국/탕,일상
6881545,"[300, 8, 6, 2]",빵,간식
6935711,"[178, 2, 6, 10, 1, 4, 40, 22, 64, 20, 50, 154, 49]",김치/젓갈/장류,일상
6940387,"[5, 3, 44, 17, 150, 1, 10, 13, 195]",양념/소스/잼,일상
6893135,"[49, 4, 14, 10, 20, 7, 1, 5, 19, 34]",밑반찬,일상
6985593,"[191, 21, 1, 2, 17]",메인반찬,일상
6710799,"[32, 4, 14, 107, 8, 116, 2, 137, 38, 7, 269, 31, 54, 350, 6, 38, 15, 1, 4, 115, 29]",메인반찬,다이어트
6976519,"[82, 81, 329, 22, 2, 11, 34, 12, 7, 41, 8]",밥/죽/떡,일상
6930021,"[369, 1, 3, 18, 9, 2, 34, 10]",밑반찬,기타
7025748,"[65, 4, 51, 71, 13, 16, 35, 1, 35, 6]",양념/소스/잼,일상
6839769,"[84, 4, 28, 46, 87, 22, 33, 96, 24]",밥/죽/떡,일상
6897350,"[200, 42, 32, 7, 3, 2]",찌개,일상
6938410,"[102, 126, 5, 1, 2, 7, 12]",밑반찬,일상
6996846,"[61, 30, 2, 24, 11, 9, 106]",국/탕,일상
6914565,"[85, 149, 4, 9, 15, 7, 10, 5, 17, 20, 1, 3]",메인반찬,일상
6989070,"[369, 16, 3, 7, 1, 5, 41]",밑반찬,일상
6888912,"[85, 30, 99, 9, 6, 33, 1, 20, 24, 13]",국/탕,일상
5346538,"[183, 95, 81, 223, 182, 58, 45, 30, 9, 5, 2, 11, 144, 238, 13]",면/만두,다이어트
6896394,"[32, 29, 29, 29, 4, 3, 5, 18, 57, 6]",메인반찬,다이어트
6903936,"[75, 84, 4, 9, 2]",밥/죽/떡,초스피드
6924887,"[152, 32, 154, 35, 16, 70, 1, 93]",국/탕,일상
6849801,"[62, 41, 2, 11, 1, 7, 10]",밑반찬,초스피드
6838450,"[21, 60, 8, 3, 77, 2]",빵,간식
6963242,"[100, 89, 11, 6, 15, 3, 54, 16, 5, 48, 10, 6, 1]",기타,간식
6990679,"[100, 4, 14, 28, 107, 103, 6, 27, 12, 22]",밥/죽/떡,일상
6981109,"[149, 42, 9, 13, 31, 1, 10, 3, 11, 7, 12]",메인반찬,일상
6873023,"[696, 139, 46, 298, 92, 8, 83, 37, 44]",샐러드,일상
6212995,[95],밑반찬,일상
6934446,"[208, 14, 4, 511, 94, 113, 5, 3, 2, 17, 1, 15, 7, 11, 12]",메인반찬,손님접대
1725622,"[8, 103, 52, 2, 11, 6]",밑반찬,일상
1603366,"[68, 65, 4, 13, 79, 5, 3, 17, 1, 7]",양식,일상
6961176,"[203, 47, 32, 51, 78, 25, 13, 9, 1]",찌개,일상
6864367,"[266, 4, 29, 23, 114, 1, 31]",메인반찬,술안주
6977082,"[13, 3]",기타,일상
4632199,"[183, 165, 65, 82, 30, 9, 13, 2, 72, 10, 6, 24, 1, 11, 91, 17]",찌개,일상
6838580,"[32, 4, 9, 6, 64, 10, 5, 3, 1, 33, 19]",밑반찬,일상
6876283,"[90, 72, 2, 41, 5, 17, 43, 3]",밑반찬,일상
7019029,"[51, 4, 8, 10, 5, 31, 19, 11, 6, 12, 15]",밥/죽/떡,초스피드
6888102,"[109, 319, 6, 1, 11, 2, 24, 7]",국/탕,일상
6991511,"[28, 118, 82, 51, 90, 9, 13, 25, 1, 16, 35, 10, 5, 6]",찌개,일상
6937279,"[58, 69, 24, 11, 51, 14, 8, 42, 5, 17, 10, 13, 1, 23, 144]",면/만두,일상
6951112,"[65, 382, 9, 1, 35, 325, 7, 24, 69]",국/탕,일상
6953233,"[219, 6]",국/탕,초스피드
6975405,"[410, 16, 10, 3, 12, 2, 23]",밑반찬,일상
7015534,"[63, 8, 3, 2, 26, 15, 21, 3]",빵,간식
6832829,"[36, 109, 4, 14, 12, 2, 3, 18, 6]",국/탕,초스피드
6917579,"[258, 29, 14, 53, 84, 46, 178, 78, 47, 220]",메인반찬,손님접대
6990533,"[208, 23, 5, 1, 296, 7, 204]",메인반찬,일상
7023242,"[183, 111, 13, 10, 3, 31, 5, 9, 38]",찌개,일상
6977603,"[8, 2, 18, 4, 9, 13, 106, 16, 10, 5, 3, 19, 1, 7]",밑반찬,일상
6873313,"[625, 9, 13, 55, 97, 33, 10, 64, 1, 55, 17]",메인반찬,일상
6905091,"[5, 10, 3, 43, 7, 1, 12, 2]",밥/죽/떡,일상
7002255,"[109, 165, 6, 1, 24, 17, 7, 20, 2]",국/탕,일상
6884472,"[101, 1, 188, 27, 2, 11]",면/만두,일상
6950064,"[56, 4, 14, 23, 31, 7, 12, 1]",밥/죽/떡,일상
6891346,"[61, 4, 13, 9, 1, 5, 48, 10]",밑반찬,초스피드
6829101,"[58, 1, 13, 27, 5, 10, 16, 19, 162]",밑반찬,일상
6887898,"[63, 75, 98, 215]",빵,도시락
7024457,"[63, 75, 98, 8, 21, 79, 26, 120, 189, 397, 37, 44]",빵,간식
6877917,"[101, 26, 73, 1, 4, 115, 74, 203, 188, 98]",면/만두,손님접대
6999510,"[41, 6, 2, 16, 3, 18, 17, 1, 12]",밑반찬,일상
4955460,"[193, 10, 5, 7, 19, 1, 6]",밑반찬,일상
6859443,"[124, 61, 130, 9, 69, 16, 10, 48, 3, 5, 1]",밥/죽/떡,간식
6905635,"[68, 4, 115, 706, 2, 11, 17, 1, 121, 108]",면/만두,손님접대
6993877,"[68, 99, 28, 4, 47, 69, 16, 35, 5]",찌개,일상
7011733,"[152, 1, 15, 2, 31, 7, 3]",밑반찬,초스피드
6853248,"[65, 16, 6, 3, 43, 5, 1, 23, 40, 7, 38, 104, 199]",김치/젓갈/장류,일상
7001213,"[13, 6, 5, 97, 3, 18]",밑반찬,초스피드
6989335,"[63, 28, 4, 381, 13, 120, 37, 3, 2]",빵,일상
1668806,"[36, 41, 1, 18, 10, 19, 64, 20]",김치/젓갈/장류,일상
6976753,"[123, 52, 28, 14, 9, 70, 113, 5, 52, 19, 40, 1, 6, 7, 12]",메인반찬,일상
6904477,"[707, 9, 4, 28, 70, 6, 5, 16, 10, 17, 1, 48]",메인반찬,손님접대
6912884,"[8, 122, 147, 54]",밥/죽/떡,일상
6835289,"[78, 195, 13, 13, 8, 89, 2, 38, 72]",메인반찬,일상
7005834,"[85, 15, 1, 9, 18, 46, 3, 12, 10, 17, 5, 3, 1]",메인반찬,일상
6980376,"[63, 120, 122, 37, 3]",빵,간식
6973114,"[365, 57, 60, 72, 6, 5, 17, 3, 2, 30, 41]",밑반찬,일상
6838054,"[28, 124, 122, 67]",양식,야식
6836267,"[416, 117, 22, 133, 53, 12]",밥/죽/떡,일상
6904091,"[55, 28, 109, 2]",국/탕,일상
6978055,"[99, 141, 88, 55, 80, 55, 80, 241, 2, 3]",밥/죽/떡,일상
6919463,"[32, 8, 2, 38, 15]",밑반찬,일상
6874486,[240],기타,일상
6877778,"[208, 1, 4, 5, 20, 225, 7, 12, 11, 14, 9, 114, 29]",메인반찬,일상
6919862,"[721, 151, 37, 6, 19, 5, 1, 16, 17, 20]",밑반찬,도시락
1875027,"[321, 49, 14, 99, 13, 39, 66, 8, 6, 72, 11, 2]",밑반찬,일상
6971926,"[478, 8, 41, 6, 5, 17, 3, 13, 4, 23, 40, 45, 11]",밥/죽/떡,
7010030,"[8, 2, 9, 111, 15]",메인반찬,일상
6974954,"[94, 9, 24, 20, 1, 7, 34, 2, 2]",밑반찬,일상
6901583,"[256, 79, 13, 16, 10, 5, 1, 3, 19, 31, 43, 17, 4, 7, 38]",메인반찬,손님접대
6911659,"[32, 9, 78, 24, 5, 10, 43, 293, 325, 1, 6]",밑반찬,일상
6944670,"[303, 4, 2, 11, 49, 5, 17, 6, 3, 19, 1]",밥/죽/떡,일상
7015513,"[102, 5, 2, 7, 12, 23]",메인반찬,일상
6913128,"[88, 14, 4, 46, 130, 22, 2, 11]",밥/죽/떡,일상
6880974,"[245, 37, 5, 3, 19, 86, 12]",밑반찬,초스피드
6935906,"[32, 9, 217, 2, 11, 15, 5, 6, 3, 18, 7, 162]",메인반찬,술안주
6986026,"[313, 26, 179, 2, 38, 5, 17, 3, 23, 1, 4, 7, 31]",메인반찬,술안주
6844871,"[213, 167, 138, 44]",차/음료/술,간식
6921637,"[28, 32, 114, 2, 15, 15, 6, 5, 20, 1, 10, 48, 17, 34, 11]",밑반찬,일상
6877249,"[30, 2, 10, 1, 43]",밑반찬,초스피드
6892451,"[144, 328, 7, 12, 10, 53]",면/만두,일상
7024161,"[62, 65, 55, 6, 187, 13, 5, 10, 3, 7, 12]",밥/죽/떡,일상
6995116,"[90, 4, 13, 29, 29, 87, 8, 2, 11, 66, 112]",밑반찬,일상
6973761,"[360, 277, 6, 69, 9, 114, 53, 28, 105, 11, 96, 10, 35, 20, 24, 1, 11]",국/탕,일상
6984750,"[65, 9, 1, 31, 152, 115, 7, 72, 12]",메인반찬,일상
6831664,"[22, 8, 42, 7, 12]",밥/죽/떡,초스피드
6981437,"[223, 676, 1, 27, 108, 2]",양식,일상
6830137,"[113, 65, 4, 87, 87, 94, 2, 7, 5, 12, 31, 3, 11, 1]",메인반찬,손님접대
6940329,"[85, 16, 10, 3, 5, 11, 1, 114, 23, 12, 7]",메인반찬,일상
6861834,"[85, 21, 3, 5, 108, 67]",기타,일상
6844265,"[309, 5, 6, 3, 1, 4, 40, 7, 12, 11]",양념/소스/잼,일상
6894450,"[28, 8, 74, 147, 122, 2, 38]",양식,간식
6955891,"[47, 90, 9, 7, 33, 15, 12, 16, 10, 5, 17, 48, 1]",밑반찬,일상
6959359,"[541, 23, 16, 35, 1, 43, 7, 12]",밑반찬,일상
6916605,"[589, 112, 7, 3, 162, 5, 17, 1, 19]",밑반찬,일상
6954678,"[118, 22, 4, 14, 41, 2, 7, 11, 12, 120]",밥/죽/떡,일상
6920845,"[4, 5, 3, 12, 7]",메인반찬,일상
6937392,"[36, 4, 14, 49, 2, 10, 1, 20, 43, 3, 64]",밑반찬,일상
7001517,"[53, 6, 5, 3, 18]",메인반찬,일상
6946145,"[68, 4, 9, 1, 40, 105, 2, 114, 2, 218]",메인반찬,
6925914,"[101, 94, 1, 27, 31, 38, 2, 4]",면/만두,손님접대
7021758,"[8, 4, 9, 17, 24, 7, 1, 2, 38, 6, 58, 45]",국/탕,일상
6946419,"[360, 28, 82, 9, 105, 16, 35, 24, 10, 1, 96, 2]",국/탕,일상
7025317,"[30, 2, 19, 10, 192, 18, 5, 43, 1, 12]",밑반찬,초스피드
6876731,"[266, 141, 1, 4, 255, 19, 31, 104]",메인반찬,
6945706,"[458, 231, 5, 50, 10, 1, 7, 12]",김치/젓갈/장류,초스피드
6846516,"[143, 44, 3, 190, 2]",차/음료/술,일상
6849863,"[245, 33, 12, 16, 5, 37, 1, 44, 97]",밑반찬,일상
6915699,"[358, 173, 399, 62, 119, 8, 36, 14, 46, 16, 10, 5, 3, 18, 12]",면/만두,간식
6921176,"[425, 42, 9, 58, 58, 45, 6, 42, 15, 33, 40, 1, 10, 3]",찌개,일상
6834767,"[46, 29, 14, 4, 33, 5, 43]",밑반찬,일상
6889519,"[46, 14, 166, 54, 37, 59, 19, 38]",샐러드,일상
6854603,"[245, 86, 5, 3, 10, 16, 1]",밑반찬,일상
1686344,"[208, 47, 4, 8, 14, 9, 145, 69, 5, 17, 3, 6, 45, 234]",밥/죽/떡,일상
6939270,"[82, 22, 157, 31, 5, 3, 7, 11, 117, 10]",밥/죽/떡,일상
6996565,"[28, 111, 82, 51, 4, 41, 13, 25, 1, 6, 35, 16, 10, 5]",찌개,일상
5795235,"[449, 127, 9, 185, 9, 127, 10]",면/만두,간식
6956153,"[493, 136, 230, 55, 102, 71, 10, 17, 1, 177, 2, 23]",국/탕,일상
6983034,"[348, 4, 211, 6, 8, 9, 22, 72]",밥/죽/떡,일상
6979860,"[107, 601, 108, 6, 2, 11]",스프,일상
6968934,"[201, 131, 1, 9, 40, 154, 19, 5, 3, 17, 24]",밑반찬,일상
7016003,"[249, 37, 13, 5, 3]",기타,술안주
7015325,"[94, 2, 1, 24, 2, 33, 12]",밑반찬,일상
6849235,"[149, 4, 9, 1, 40, 45, 35, 97]",메인반찬,손님접대
6842403,"[127, 3, 27]",과자,간식
1683844,"[634, 220, 14, 114, 1, 116, 2, 11, 52, 5, 19, 7, 52, 31]",밑반찬,일상
6842398,"[371, 14, 4, 9, 146, 47, 5, 3, 240, 129, 1, 9, 11, 7]",메인반찬,명절
6842005,"[207, 1, 70, 23, 179, 10, 17, 2, 11, 5, 3, 18]",메인반찬,일상
6973930,"[120, 14, 21, 2, 3, 60]",과자,간식
6903052,"[42, 62, 310, 11, 1, 23, 24, 496, 10]",국/탕,일상
6974310,"[157, 13, 14, 4, 66, 8, 2, 9, 1]",밑반찬,일상
6963685,"[123, 1, 146, 23, 6, 444]",메인반찬,
6884481,"[275, 41, 2]",메인반찬,일상
6862576,"[233, 21, 8, 89]",디저트,일상
6840503,"[4, 115, 61, 23, 183, 13, 1, 3, 5, 10, 15, 7]",찌개,일상
6888771,"[42, 111, 110, 7, 2, 12, 279, 19, 11, 10, 12, 161]",밥/죽/떡,일상
6903928,"[53, 32, 118, 4, 14, 8, 66, 15, 2, 11]",메인반찬,간식
7016292,"[241, 6, 55, 6, 3, 2, 80, 6, 2]",밥/죽/떡,
6997508,"[503, 5, 33, 3, 6, 145, 34]",면/만두,초스피드
6981459,"[111, 28, 9, 6, 5, 31, 19, 3, 16, 12, 7, 10, 2]",밑반찬,일상
6857946,"[692, 145]",밥/죽/떡,다이어트
6874557,"[28, 8, 23, 1, 13, 2, 24, 45, 69, 97]",국/탕,초스피드
6981363,"[68, 14, 4, 1, 142, 114]",,
6877828,"[16, 35, 10, 5, 43, 1, 7, 12]",밑반찬,일상
1166450,"[100, 2, 11, 4, 1, 39, 116, 103, 67, 83]",메인반찬,술안주
6985445,"[53, 6, 9, 1, 24, 7, 96, 12]",밑반찬,일상
7024964,"[185, 32, 2, 24, 1, 7, 12]",메인반찬,일상
6980579,"[28, 2, 6, 72, 57]",메인반찬,술안주
6948413,"[297, 46, 71, 9, 49, 358, 15, 33, 1, 2, 96, 16, 5, 10, 43, 3, 33, 96]",메인반찬,일상
6837186,"[418, 7, 16, 184]",밑반찬,초스피드
6915556,"[123, 4, 9, 2, 11, 6, 10, 6, 5, 18, 3, 6, 1, 168, 4, 46, 124, 1, 146, 9, 141, 246]",메인반찬,일상
6931158,"[170, 272, 63, 3]",빵,초스피드
6966942,"[8, 47, 6, 1, 20, 3]",밑반찬,일상
6879627,"[32, 65, 4, 9, 13, 25, 6, 10, 16, 5, 1, 86, 3, 7, 38, 179, 6]",밥/죽/떡,일상
6972046,"[102, 195, 24, 1, 2, 135, 34, 7]",밑반찬,일상
6857463,"[32, 202, 5, 31, 10, 3, 6, 1, 23, 12]",메인반찬,초스피드
6855076,"[39, 26, 21, 2]",빵,간식
6868274,"[300, 8, 272, 26, 170]",양식,간식
6905500,"[68, 105, 4, 35, 3, 2]",메인반찬,손님접대
6904456,"[56, 1, 4, 71, 102, 13, 22, 8, 111, 5, 11, 37, 54]",,
6982671,"[53, 114, 1, 23, 10, 5, 23, 114, 1, 17, 19, 7, 34]",밑반찬,초스피드
6966319,"[109, 28, 249, 1, 24, 33, 2]",국/탕,일상
6939870,"[41, 12, 10, 40, 1, 20, 80, 3, 43]",김치/젓갈/장류,일상
6852021,"[95, 5, 153, 1, 13, 25, 10]",밑반찬,일상
7010357,"[410, 23, 4, 114, 18, 2, 3, 3, 19, 18, 10, 16, 1, 12]",밑반찬,일상
1709190,"[209, 12, 7, 18, 6, 6, 45, 5, 186, 17, 48]",밑반찬,일상
6868761,"[176, 120, 122, 44, 37, 67]",빵,간식
6973757,"[220, 96, 167, 37, 44, 59, 2]",샐러드,일상
6848028,"[42, 149, 4, 23, 10, 1, 40, 3, 64]",메인반찬,일상
6997634,"[28, 4, 99, 29, 174, 103, 6, 22, 161]",밥/죽/떡,초스피드
6863797,"[689, 30, 126, 9, 4, 13, 154, 10, 16, 24, 5, 1, 40, 52, 11, 78, 142]",국/탕,술안주
6858821,"[68, 71, 4, 14, 10, 5, 3, 19, 17, 33, 1, 11, 2]",메인반찬,일상
